claim_id	decimal_id	summary	evidence	status
CLM-multiplicity-gate	6.1.2.1.2	v3 R9 multiplicity gate: pinned integer-L1 metric/0.950/connected-component/n_min=2 + mass_commitment auditability; version<3 inadmissible (flag-day)	impl:CIRISServer#155 test:CIRISConformance#test_542_dominance_gate	established
CLM-storage-budget	6.1.5.2	StorageBudgetV1 per-cohort_scope owner budget (PIN-NORMATIVE, self/family suppressed)	test:CIRISConformance#test_530_storage_contention staged:CIRISPersist#356	established
CLM-storage-want	6.1.5.2	CorpusWantV1 want/have + size cap (wanted-then-pulled)	test:CIRISConformance#test_530_storage_contention staged:CIRISPersist#356	established
CLM-freeze-57	6.1.4	#57 freeze-gate byte-exact conformance vectors for CC 6.1 shapes	test:CIRISConformance#59	established
CLM-discrimination-gate	8.8.9	DISCRIMINATION enforced at the WiseBus capability gate (NEVER_ALLOWED) for requests carrying a capability (a request without one bypasses the gate — hasattr guard) + round-1 DMA context	impl:CIRISAgent/ciris_engine/logic/buses/wise_bus.py#WiseBus._validate_capability	established
CLM-pdma-ordermax	1.3	Order-Maximisation Veto routes to mandatory WBD deferral (not MUST-abort)	impl:CIRISAgent/ciris_engine/logic/conscience/core.py#OptimizationVetoConscience.check	established
CLM-accord-livequorum	4.2.6	Live-quorum roster-capture closed: post-W contest on append-log evidence + mandatory restore	impl:CIRISServer#155	established
CLM-1plus4-frozen	2.1	The 1+4 attestation surface is conformance-frozen (a wire-byte change is a defect)	test:CIRISConformance#59	established
CLM-migration-fidelity	corpus	Source-fidelity migration validated (0 REJECT) under the skeptical rubric	test:@validation/results.csv	established
CLM-child-protection	3.4.13	Seven child-protection rulings (fail-secure minor-stewardship, consent gating); conformance vectors superseded by the #87 narrowing — awaiting the substrate age-plane witness	impl:CIRISPersist/src/federation/age.rs#is_minor	established
CLM-covenant-identity	1.15.5	RECOGNITION-GRADE, non-normative: covenant identity described as keys + maintained memory lineage + conduct record. No lineage-inheritance binding is stated; the wire-level design (lineage extent, conduct-record portability, keys-per-owner) is tracked at CIRISConstitution#49	staged:CIRISConstitution#71	staged
CLM-registry-of-record	3.1.7	Family/component counts are generated, not asserted: manifests/namespace_registry.json is the registry of record and registration means a CC 3.1 row	impl:@manifests/namespace_registry.json	established
CLM-capacity-composite	3.1.8.1	C_CIRIS = min(C, I_int, R, I_inc, S); a product form is non-conformant (sign-cancelling: an even number of negative factors scores positive, inverting the anti-Goodhart rationale); a missing factor is undefined, not zero	staged:CIRISConstitution#50	staged
CLM-goal-id	3.1.9.7	goal_id is an object identifier, never a scale token; goal:{scale} (belonging) and cohort_scope (privacy/routing) are different axes; {scale} stays at 7 tokens	staged:CIRISConstitution#43	staged
CLM-deletion-window	3.3.1	hard_case:deletion_window_breach is substrate-observed EVIDENCE, never a slashing verdict; deletion proof = withdrawn/superseded/hard-deleted before the deadline; no affirmative deletion_proof artifact (a producer could emit one while retaining the bytes)	impl:CIRISPersist/src/federation/deletion_window.rs#run_deletion_window_watch	established
CLM-accord-reach	4.2.1	Halt binds exactly the live delegates_to(user->accord) set pinned at asserted_at; exit is prospective, not retroactive; pre-committed powers only; the enumeration admits the canonical-conferral co-scrub so root-minting is not forbidden by the clause it depends on	staged:CIRISConstitution#40	staged
CLM-wa-symmetry	4.3	Wise Authorities wear the same banded signals as everyone else: liveness on the presence/absence pattern with deferral re-routing, published conduct composing to a WA record, readable at the same grain as accord and moderator standing	staged:CIRISConstitution#71	staged
CLM-trust-root	4.4.3.8	Pluggable trust root: self-root base, attenuation-bound charter, un-trust as one deletable acceptance edge with downstream failing closed emergently, fail-closed capability gate, ceremony-vs-delegation conferral planes, genesis scoped honestly to tamper-evident	staged:CIRISConstitution#40	staged
CLM-synthesis-disclosure	3.4.14	Machine-generation marking is mandatory: content_class:generated/generated_modified universal, agent-attester identity_type binding, egress re-expression, assistive carve-out, generator-is-duty-holder	staged:CIRISConstitution#9	staged
CLM-c2pa-emit	8.4.2.2	C2PA emit is normative for generated media (the CC 3.4.14 R3 media-egress form); recorded-exception path where the destination cannot carry a manifest	staged:CIRISConstitution#9	staged
CLM-trust-not-membership	3.2	Trust ≠ membership; default-not-forced-root; steward-binding admission (post-#87: owner-binding edges only)	impl:CIRISPersist/src/federation/admission.rs#check_user_target_steward_binding_admission	established
CLM-adult-incapacity	3.4.12	Adult-incapacity stewardship (capacity-assurance, prior-will-first, fail-to-liberty auto-restore)	staged:CIRISServer#155	staged
CLM-age-assurance	3.4.11	Verified-rung age assurance + minor-steward binding	staged:CIRISServer#155	staged
CLM-structural-invisibility	5.2	self/family content is structurally invisible — never federates (wire-enforced)	test:CIRISConformance#59 staged:CIRISServer#155	established
CLM-epoch-keying	5.1	Epoch keying + cascade (forward-secure content transport)	staged:CIRISServer#155	staged
CLM-revocation-promotion	5.3.2.2	Subject revocation never rests local; 24h federation-tier promotion SLA	test:CIRISConformance#test_574_revocation_promotion staged:CIRISServer#155	established
CLM-fragmentation	5.4.3	Content-fragmentation wire discipline (scope-privacy transport)	test:CIRISConformance#59	established
CLM-wholeness-witness	6.1.1	WholenessWitness divergence detection (Merkle construction, WW-1..3, N3/N4 equivocation)	test:CIRISConformance#59 staged:CIRISServer#155	staged
CLM-canonicalization-boundary	6.1.3	CC 6.1 binary preimage discipline — length-prefixed/domain-separated, never JCS, never 1+4	test:CIRISConformance#59	established
CLM-billing-offwire	3.3.9	Billing/settlement is off-wire; value transfer rides external rails	normative-only:—	normative
CLM-meta-goal	1.1	M-1 (sustainable adaptive coherence) is the single apex every mechanism serves	normative-only:—	normative
CLM-wbd	1.9	Wisdom-Based Deferral: halt/escalate rather than guess beyond competence	impl:CIRISAgent#911	established
CLM-amendment	4.5.1	Amendment process (federation contribution → witness diversity → WA quorum → 1-of-6)	normative-only:—	normative
CLM-entrenchment	4.5.1.2	Entrenchment: CC 4.2 / 4.5.1 / 1.2 need a MAJOR bump + dedicated accord ratification	normative-only:—	normative
CLM-halt-authority	4.2	HUMANITY_ACCORD constitutional halt layer — wire- and scope-isolated	staged:CIRISServer#155	staged
CLM-wire-vocabulary	8.8	Two-tier wire-vocabulary governance; hash-pinned manifest registry	test:@manifests/WIRE_VOCABULARY.md	established
CLM-noise-descent	6.1.2	One retirement operator: revocation/eviction/aging as pressure-driven descent	impl:CIRISServer#155	established
CLM-admission	1.2	The four-test prefix-admission gate	staged:CIRISServer#155	staged
CLM-adversary	1.13.3	Adversary model & privacy non-goals (normative)	normative-only:—	normative
CLM-adversary-classes	1.13.3.3	Adversary classes (and where each is / is not addressed)	normative-only:—	normative
CLM-forward-compatibility	2.1.1	Forward-compatibility rule	test:CIRISConformance#59 impl:CIRISServer#155	established
CLM-conformance	2.2	Conformance levels	test:CIRISConformance#59 impl:CIRISServer#155	established
CLM-subject_kind-subject-2	2.3.1	Subject-bearing dimensions (governance requirement)	test:CIRISConformance#59 impl:CIRISServer#155	staged
CLM-registry-canonical	2.3.2.1	Canonical-hash wire form + preimage convention	test:CIRISConformance#59 impl:CIRISServer#155	staged
CLM-withdraws	2.4.1.1	`withdraws` admission rule (semantic, not structural)	test:CIRISConformance#59 impl:CIRISServer#155	established
CLM-round-trip	2.6.1.1	The round-trip rule — defaults are interpretation-time, not encoding-time (normative)	test:CIRISConformance#59 impl:CIRISServer#155	established
CLM-canonicalization-array	2.6.1.1.1	Array ordering + byte-field + timestamp encoding (normative — the three determinism rules JCS does NOT pin)	test:CIRISConformance#59 impl:CIRISServer#155	established
CLM-per-field	2.6.1.2	Per-field encoding table (informational)	test:CIRISConformance#59 impl:CIRISServer#155	established
CLM-canonical	2.6.1.3	Canonical encoding format (normative)	test:CIRISConformance#59 impl:CIRISServer#155	established
CLM-worked	2.6.1.4	Worked attack the rule closes	test:CIRISConformance#59 impl:CIRISServer#155	established
CLM-canonicalization	2.6.2	Date-time canonicalization	test:CIRISConformance#59 impl:CIRISServer#155	established
CLM-canonicalization-hexadecimal	2.6.3	Hexadecimal canonicalization	test:CIRISConformance#59 impl:CIRISServer#155	established
CLM-policy-versioning	2.6.4	Versioning policy	test:CIRISConformance#59 impl:CIRISServer#155	established
CLM-references	2.6.5	Normative References	test:CIRISConformance#59 impl:CIRISServer#155	staged
CLM-canonicalization-cell	2.6.6	H3 cell canonicalization	test:CIRISConformance#59 impl:CIRISServer#155	established
CLM-location	2.6.6.1	Rough-only enforcement for `location_proof` (normative)	test:CIRISConformance#59 impl:CIRISServer#155	established
CLM-cell	2.6.6.2	Cell containment	test:CIRISConformance#59 impl:CIRISServer#155	established
CLM-time	2.6.7	Time and clocks	test:CIRISConformance#59 impl:CIRISServer#155	established
CLM-key_id	2.6.8	NodeCode — the canonical `key_id` shorthand encoding (normative)	test:CIRISConformance#59 impl:CIRISServer#155	established
CLM-conformance-language	2.6.9	Conformance language	test:CIRISConformance#59 impl:CIRISServer#155	staged
CLM-provenance	3.1.2.1	Canonical-bytes contracts for provenance primitives	test:CIRISConformance#59 impl:CIRISServer#155	established
CLM-contributions	3.1.9.1	Files-as-Contributions joint claim	test:CIRISConformance#59 impl:CIRISServer#155	established
CLM-subject_kind	3.3.2	Governance subject_kinds	test:CIRISConformance#59 impl:CIRISServer#155	established
CLM-subject_kind-subject	3.3.3	`location_proof` subject_kind	test:CIRISConformance#59 impl:CIRISServer#155	established
CLM-family-subject	3.3.4	`family` subject_kind	test:CIRISConformance#59 impl:CIRISServer#155	established
CLM-consent-subject	3.3.5	`consent_record` subject_kind	test:CIRISConformance#59 impl:CIRISServer#155	established
CLM-identity	3.3.6	`identity_occurrence` subject_kind	test:CIRISConformance#59 impl:CIRISServer#155	established
CLM-encryption_pubkeys	3.3.6.1	the recipient content-encryption KEM binding	test:CIRISConformance#59 impl:CIRISServer#155	established
CLM-transport-authenticated	3.3.6.2	`transport_destination` — the authenticated identity↔address binding	test:CIRISConformance#59 impl:CIRISServer#155	established
CLM-rns	3.3.6.2.1	RNS destination-hash algorithm (pinned)	test:CIRISConformance#59 impl:CIRISServer#155	established
CLM-consent-directed	3.3.7	`consent:replication` — directed federation-peer replication consent (CEG 1.0-RC28 addition)	test:CIRISConformance#59 impl:CIRISServer#155	established
CLM-accord-reservation	3.4.1	The `accord:*` reservation	impl:CIRISServer#155	established
CLM-community-location	3.4.2	Community + location-event reservations (CEG 0.8 addition)	impl:CIRISServer#155	established
CLM-system	3.4.3	Substrate-self-report reservations (`system:*`)	impl:CIRISServer#155	established
CLM-family-self	3.4.4	Self/family membership-event reservations (CEG 0.7 addition)	impl:CIRISServer#155	established
CLM-capacity-score	3.4.5	Self-emission polarity: capacity:* anti-self (attesting_key_id MUST NOT equal attested_key_id) plus the per-family emitter-class table. The read boundary is reserved design space (CIRISConstitution#49)	impl:CIRISServer#155	established
CLM-capacity-consent-gate	3.4.5	Consent-before-scoring (ratified): federation-tier capacity:* admission requires the subject's live consent:scope:analyze grant, community-addressed; role-gated abuse-response families exempt; 14 verify families dispositioned not-consent-gated	impl:CIRISPersist/src/federation/admission.rs#check_capacity_consent_admission	established
CLM-reservation-delivery	3.4.6	Delivery-receipt reservation (CEG 0.10 addition)	impl:CIRISServer#155	staged
CLM-enforcement	3.4.7	The enforcement rule (normative)	impl:CIRISServer#155	established
CLM-identity-set	3.4.7.1	`identity_type` is a set — single-key role cohabitation (CEG 0.9 addition)	impl:CIRISServer#155	established
CLM-consent-counter	3.4.7.2	`consent_role` — the Counter-RII consent gate (1.0-RC4, ratifies Accord §RC / CIRISAgent#760 OQ-1/2/3)	impl:CIRISServer#155	established
CLM-detector-only	3.4.8	Detector-only prefixes	impl:CIRISServer#155	established
CLM-co-stewarded	3.4.9	Co-stewarded prefixes	impl:CIRISServer#155	established
CLM-witness-emitter	3.4.10	Witness-emitter reservations	impl:CIRISServer#155	established
CLM-concurrent-write	3.5.1	Concurrent-write precedence	impl:CIRISServer#155	established
CLM-anti-pattern-delegation	4.1.1	Delegation-laundering anti-pattern	impl:CIRISServer#155	staged
CLM-withdraws-arbitrage	4.1.4	`withdraws` arbitrage	impl:CIRISServer#155	established
CLM-invocation	4.2.1.1	Invocation canonical bytes (anti-replay)	impl:CIRISServer#155	established
CLM-notify	4.2.1.2	`notify` vs `CONSTITUTIONAL` — consumer-UI requirement	impl:CIRISServer#155	established
CLM-lifecycle	4.2.1.3	Lifecycle (resumption) canonical bytes — `accord:lifecycle:active`	impl:CIRISServer#155	established
CLM-hardware-class	4.2.2	Hardware-class taxonomy	impl:CIRISServer#155	established
CLM-hardware-class-hardware	4.2.2.1	Hardware-class self-assertion gap (acknowledged)	impl:CIRISServer#155	established
CLM-composition-policies	4.4	Composition policies	impl:CIRISServer#155	established
CLM-frickerian	4.4.1	Frickerian discipline — consumer-policy norms	impl:CIRISServer#155	established
CLM-sub-quorum	4.4.3.1.1	Sub-quorum fallback	impl:CIRISServer#155	staged
CLM-community-three	4.4.3.2.1	The three crypto tiers + the Community DEK cascade (normative)	impl:CIRISServer#155	established
CLM-deterministic	4.4.3.2.4.1	Deterministic resolution + member→address resolution (NORMATIVE)	impl:CIRISServer#155	staged
CLM-affiliations	4.4.3.2.8	The institutional cohort (necessity, not interest) (normative)	impl:CIRISServer#155	staged
CLM-family-policy	4.4.3.4	Policy L — Self/family membership composition	impl:CIRISServer#155	established
CLM-cascade	4.4.3.4.1	Key-grant cascade (the at-rest encryption flow)	impl:CIRISServer#155	established
CLM-cohort	4.4.3.4.3	"The ""Self at login"" — app + agent co-self + partnered delegation (normative composition)"	impl:CIRISServer#155	established
CLM-canonicalization-signing	4.4.3.4.3.1	Signing member sets (normative — the JCS contract Verify hybrid-signs)	impl:CIRISServer#155	established
CLM-multi-subject	4.4.3.5.4	Multi-subject revocation (any-subject-binding)	impl:CIRISServer#155	established
CLM-policy-attestation	4.4.3.6	Policy I — Attestation-Ladder Composition	impl:CIRISServer#155	staged
CLM-policy-trusted	4.4.3.10	Policy J — Trusted-Publisher composition	impl:CIRISServer#155	staged
CLM-axis	4.5.1.1	Axis-vocabulary discipline	impl:CIRISServer#155	established
CLM-subject_kind-subject-3	4.5.2.1	Subject-bearing dimension governance (normative)	impl:CIRISServer#155	staged
CLM-compliance-vertical	4.5.2.2	Vertical compliance mapping (informational)	impl:CIRISServer#155	established
CLM-takedown	4.5.3	Fast-path takedown coordination	impl:CIRISServer#155	established
CLM-registry-named	4.5.4	Named-moderator existence invariant + merit auto-promotion	impl:CIRISServer#155	established
CLM-takedown-moderation	4.5.5	Moderation as a delegable duty — `moderate` / `takedown` / `review`	impl:CIRISServer#155	established
CLM-registry-watchlist	4.5.7	Watchlist auto-detection — opt-in, per-group, separation-of-powers	impl:CIRISServer#155	established
CLM-cohabitation	4.5.8.1	Cohabitation discipline for constitutional + substrate roles	impl:CIRISServer#155	staged
CLM-settled	4.5.8.3	Settled in CIRISAgent, carried as-is	impl:CIRISServer#155	staged
CLM-documents-what-2	4.5.10.4	What this documents	impl:CIRISServer#155	staged
CLM-envelope-multi	4.5.12.2	Multi-family membership — envelope `family_id`	impl:CIRISServer#155	established
CLM-reverse-quorum	4.5.13	Reverse-quorum governance — presence is authority, absence forfeits it	impl:CIRISServer#155	staged
CLM-witness	5.3.1	STH cosigning + witness directory	test:CIRISConformance#59 impl:CIRISServer#155	established
CLM-consistency-proof	5.3.1.1	Consistency-proof requirement (normative)	test:CIRISConformance#59 impl:CIRISServer#155	established
CLM-holder	5.3.2.1	Holder directory TTL + ContentMiss feedback	test:CIRISConformance#59 impl:CIRISServer#155	established
CLM-merge	5.3.2.3	Cross-region merge intents — CEG-declared per subject_kind (normative)	test:CIRISConformance#59 impl:CIRISServer#155	established
CLM-attestation-tier	5.3.2.4	The attestation tier model — local-tier write, query, promotion (normative)	test:CIRISConformance#59 impl:CIRISServer#155	established
CLM-authority-local	5.3.2.4.1	Local-tier eligibility — the discriminator is *revocation authority*, not subject-set emptiness	test:CIRISConformance#59 impl:CIRISServer#155	established
CLM-local	5.3.2.4.2	Promotion — `local → federation` (the deferred-signature moment)	test:CIRISConformance#59 impl:CIRISServer#155	established
CLM-two	5.3.2.4.3	The two tiers	test:CIRISConformance#59 impl:CIRISServer#155	established
CLM-admission-pqc	5.3.2.4.3.1	The PQC half is MANDATORY at admission — no classical-only, no hybrid-pending accommodation (normative)	test:CIRISConformance#59 impl:CIRISServer#155	established
CLM-full-sha	5.3.2.5	Full-SHA verification before consumption (normative)	test:CIRISConformance#59 impl:CIRISServer#155	established
CLM-stream	5.3.3.1	Chunk seal + STREAM nonce (normative — V2 lock)	test:CIRISConformance#59 impl:CIRISServer#155	established
CLM-namespace-realtime	5.3.3.2.1	`codec_id` namespace — realtime A/V chunk codec discriminator (normative)	test:CIRISConformance#59 impl:CIRISServer#155	established
CLM-registry-wire	5.3.3.2.3	`SealedAvChunk` wire layout (normative)	test:CIRISConformance#59 impl:CIRISServer#155	established
CLM-chunklayer	5.3.3.2.4	`ChunkLayer` + `ReceiverLayerPolicy` — SVC layer model (normative)	test:CIRISConformance#59 impl:CIRISServer#155	established
CLM-liveness	5.3.3.4	D6 liveness invariant — entitled vs reachable (normative)	test:CIRISConformance#59 impl:CIRISServer#155	established
CLM-transport-edge	5.3.3.5	Transport — Edge layer (normative — E1–E4 lock)	test:CIRISConformance#59 impl:CIRISServer#155	established
CLM-delivery	5.3.3.6	Delivery receipts (normative — D5 / V3 lock)	test:CIRISConformance#59 impl:CIRISServer#155	established
CLM-normative	5.3.3.7	Framing (normative)	test:CIRISConformance#59 impl:CIRISServer#155	established
CLM-multi-steward	5.3.4	Multi-steward + accord-holder discovery	test:CIRISConformance#59 impl:CIRISServer#155	staged
CLM-envelope-error	5.3.6.1	Error envelope	test:CIRISConformance#59 impl:CIRISServer#155	established
CLM-record-id	5.4.1	Deterministic `record_id` (CBOR profile, normative)	test:CIRISConformance#59 impl:CIRISServer#155	established
CLM-symbol	5.4.2	Uniform symbol AEAD framing for fountain-coded fragments (normative)	test:CIRISConformance#59 impl:CIRISServer#155	established
CLM-welcome-wrap	5.4.4	MLS Welcome HPKE wrap under invitee static X-Wing key (normative)	test:CIRISConformance#59 impl:CIRISServer#155	established
CLM-witness-content	5.4.5	Witness-chain content discipline (privacy witness, normative)	test:CIRISConformance#59 impl:CIRISServer#155	established
CLM-announce-suppress	5.4.6	Announce suppression for group-scoped destinations (normative)	test:CIRISConformance#59 impl:CIRISServer#155	established
CLM-aggregationmetav1	6.1.2.1	`AggregationMetaV1` — the aggregation-tier wire contract (normative)	test:CIRISConformance#59 impl:CIRISServer#155	established
CLM-descent	6.1.2.2	Descent rule (normative)	test:CIRISConformance#59 impl:CIRISServer#155	established
CLM-registry-replication	6.1.5.1	Replication-target policy (§R-policy — normative floor + RECOMMENDED defaults)	test:CIRISConformance#59 impl:CIRISServer#155	established
CLM-deterministic-alm	6.1.6	Deterministic ALM topology (§T / §M)	test:CIRISConformance#59 impl:CIRISServer#155	established
CLM-trust	6.1.8	Recursive trust bootstrap (§B) — trust-discovery, not membership	test:CIRISConformance#59 impl:CIRISServer#155	established
CLM-annex-g	8.8.7	Annex G: Adversarial Security & Robustness	normative-only:—	normative
CLM-trace-family	3.1.5	trace:{form}:{version} + trace_summary:{kind} family, the exactly-one-of inline/manifest shape, and the trace_manifest:v1 payload schema	impl:CIRISPersist/src/federation/admission.rs#check_trace_dimension_admission staged:CIRISConformance#83	established
CLM-envelope-size	2.6.1.3	1 MiB bound on canonical JCS bytes at every write path (contract + intake bounds, ENVELOPE_TOO_LARGE/413) + above-cap manifest route; freeze-gate vector pair pending	impl:CIRISPersist/src/federation/admission.rs#check_envelope_size_admission staged:CIRISConformance#83	established
CLM-nsproc-dimension	3.1	Namespace-processor evidence row (minted for pre-verified sibling evidence, #62): dimension	impl:CIRISEdge/src/replication/bridge.rs#attestation_is_advertised	established
CLM-nsproc-family-roster-membership-change-via-entr-accord	3.1.1	Namespace-processor evidence row (minted for pre-verified sibling evidence, #62): family roster membership change via entr accord	impl:CIRISPersist/ciris-verify-core/src/accord_genesis.rs#build_accord_family_envelope	established
CLM-nsproc-holds-bytes-agent-files-kind-platform-or-target	3.1.1	Namespace-processor evidence row (minted for pre-verified sibling evidence, #62): holds bytes agent files kind platform or target	impl:CIRISPersist/src/federation/blobs.rs#holds_bytes_attestation_envelope	established
CLM-nsproc-kind-open-vocab-registration-collision-g-agent-files-kind-platform-or-target	3.1.1	Namespace-processor evidence row (minted for pre-verified sibling evidence, #62): kind open vocab registration collision g agent files kind platform or target	impl:CIRISPersist/src/federation/schema_resolver.rs#BlobBackedSchemaResolver	established
CLM-nsproc-witness-key-id-transparency-log-cosigned-tree-size	3.1.2	Namespace-processor evidence row (minted for pre-verified sibling evidence, #62): witness key id transparency log cosigned tree size	impl:CIRISPersist/src/federation/admission.rs#default_reserved_prefix_rules	established
CLM-nsproc-restrictions-attestation-license-validity	3.1.2	Namespace-processor evidence row (minted for pre-verified sibling evidence, #62): restrictions attestation license validity	impl:CIRISPersist/src/federation/consent_grammar.rs#RestrictionOp::StripField	established
CLM-nsproc-cosign-transparency-log-cosigned-tree-size	3.1.2	Namespace-processor evidence row (minted for pre-verified sibling evidence, #62): cosign transparency log cosigned tree size	impl:CIRISPersist/src/federation/operational.rs#check_skew_bound	established
CLM-nsproc-cosignature-transparency-log-cosigned-tree-size	3.1.2	Namespace-processor evidence row (minted for pre-verified sibling evidence, #62): cosignature transparency log cosigned tree size	impl:CIRISPersist/src/federation/tier_ingest.rs#verify_federation_tier_ingest	established
CLM-nsproc-manifest-schema-trace-manifest	3.1.5	Namespace-processor evidence row (minted for pre-verified sibling evidence, #62): manifest schema trace manifest	impl:CIRISPersist/src/federation/admission.rs#check_trace_dimension_admission	established
CLM-nsproc-trace-xor-manifest-shape-trace-manifest	3.1.5	Namespace-processor evidence row (minted for pre-verified sibling evidence, #62): trace xor manifest shape trace manifest	impl:CIRISPersist/src/federation/admission.rs#check_trace_dimension_admission	established
CLM-nsproc-cohort-scope-trace-manifest	3.1.5	Namespace-processor evidence row (minted for pre-verified sibling evidence, #62): cohort scope trace manifest	impl:CIRISPersist/src/federation/types.rs#LocalAttestationInput	established
CLM-nsproc-raw-chain-of-thought-dma-csdma	3.1.5.1	Namespace-processor evidence row (minted for pre-verified sibling evidence, #62): raw chain of thought dma csdma	impl:CIRISPersist/src/federation/schema_resolver.rs#BlobBackedSchemaResolver	established
CLM-nsproc-cohort-operational-definition-calibratio-manifold-conformity-cohort	3.1.8	Namespace-processor evidence row (minted for pre-verified sibling evidence, #62): cohort operational definition calibratio manifold conformity cohort	impl:CIRISPersist/signing/event.rs#CohortDelineation	established
CLM-nsproc-lens-core-version-detection-intra-agent-consistency	3.1.8.2	Namespace-processor evidence row (minted for pre-verified sibling evidence, #62): lens core version detection intra agent consistency	impl:CIRISPersist/src/derived/types.rs#DetectionEvent	established
CLM-nsproc-cross-attestation-prefix-distinctness-detection-distributive-access-resource-t	3.1.8.5	Namespace-processor evidence row (minted for pre-verified sibling evidence, #62): cross attestation prefix distinctness detection distributive access resource t	impl:CIRISPersist/src/federation/admission.rs#default_reserved_prefix_rules	established
CLM-nsproc-community-id-moderation-allegation-type	3.1.9.2	Namespace-processor evidence row (minted for pre-verified sibling evidence, #62): community id moderation allegation type	impl:CIRISPersist/src/federation/admission.rs#check_delegated_duty_scores_admission	established
CLM-nsproc-community-id-reconsideration-grounds	3.1.9.2	Namespace-processor evidence row (minted for pre-verified sibling evidence, #62): community id reconsideration grounds	impl:CIRISPersist/src/federation/admission.rs#named_moderator_holders	established
CLM-nsproc-kind-kind-discriminator-hard-case-kind	3.1.9.4	Namespace-processor evidence row (minted for pre-verified sibling evidence, #62): kind kind discriminator hard case kind	impl:CIRISPersist/src/federation/admission.rs#check_reserved_prefix_admission	established
CLM-nsproc-meta-goal-alignment-goal-scale	3.1.9.7	Namespace-processor evidence row (minted for pre-verified sibling evidence, #62): meta goal alignment goal scale	impl:CIRISPersist/src/federation/goal.rs#Goal::new	established
CLM-nsproc-goal-scope-goal-scale	3.1.9.7	Namespace-processor evidence row (minted for pre-verified sibling evidence, #62): goal scope goal scale	impl:CIRISPersist/src/federation/goal.rs#GoalScope	established
CLM-nsproc-delegated-scope-ownership	3.2	Namespace-processor evidence row (minted for pre-verified sibling evidence, #62): delegated scope ownership	impl:CIRISPersist/src/federation/admission.rs#check_node_agency_admission	established
CLM-nsproc-attested-key-id-ownership	3.2	Namespace-processor evidence row (minted for pre-verified sibling evidence, #62): attested key id ownership	impl:CIRISPersist/src/federation/admission.rs#check_single_node_owner_admission	established
CLM-nsproc-delegation-valid-until-ownership	3.2	Namespace-processor evidence row (minted for pre-verified sibling evidence, #62): delegation valid until ownership	impl:CIRISPersist/src/federation/admission.rs#delegation_valid_until_lapsed	established
CLM-nsproc-delegation-purpose-ownership	3.2	Namespace-processor evidence row (minted for pre-verified sibling evidence, #62): delegation purpose ownership	impl:CIRISPersist/src/federation/admission.rs#is_owner_binding_envelope	established
CLM-nsproc-pre-rotation-commitment-trust	3.2	Namespace-processor evidence row (minted for pre-verified sibling evidence, #62): pre rotation commitment trust	impl:CIRISPersist/src/federation/trust_root.rs#check_trust_charter_admission	established
CLM-nsproc-halt-latched-trust	3.2	Namespace-processor evidence row (minted for pre-verified sibling evidence, #62): halt latched trust	impl:CIRISPersist/src/federation/trust_root.rs#trust_root_valid	established
